§Compagnie§link§Note globale§Espace pour les jambes§Confort des sièges§Divertissement à bord (Wi-Fi, film, télévision)§Expérience à bord§Service client§Rapport qualité/prix§Propreté§Enregistrement et embarquement§Restauration et boissons§Prix§Avis
80§Gulf Air§https://www.tripadvisor.fr/Airline_Review-d8728943-Reviews-Gulf-Air#REVIEWS§3,5§35§35§30§35§35§35§35§35§35§§1 343 avis
81§El Al Israel Airlines§https://www.tripadvisor.fr/Airline_Review-d8729068-Reviews-El-Al-Israel-Airlines#REVIEWS§3,5§35§35§30§35§35§35§40§40§35§"[""Lauréat Travellers' Choice 2018""]"§4 236 avis
82§Finnair§https://www.tripadvisor.fr/Airline_Review-d8729078-Reviews-Finnair#REVIEWS§4,0§35§35§30§35§40§35§40§40§35§"[""Lauréat Travellers' Choice 2018"", ""Lauréat Travellers' Choice 2017""]"§7 114 avis
83§SAS§https://www.tripadvisor.fr/Airline_Review-d8729142-Reviews-SAS#REVIEWS§3,5§35§35§25§35§40§35§40§40§30§"[""Lauréat Travellers' Choice 2018""]"§9 355 avis
84§Flybe§https://www.tripadvisor.fr/Airline_Review-d8728910-Reviews-Flybe#REVIEWS§3,5§35§35§15§30§35§35§40§35§30§"[""Lauréat Travellers' Choice 2017""]"§8 019 avis
85§Air Mauritius§https://www.tripadvisor.fr/Airline_Review-d8729008-Reviews-Air-Mauritius#REVIEWS§3,5§35§35§30§30§35§35§40§40§35§§2 209 avis
86§Alaska Airlines§https://www.tripadvisor.fr/Airline_Review-d8729017-Reviews-Alaska-Airlines#REVIEWS§4,0§40§40§35§40§45§40§45§45§35§"[""Lauréat Travellers' Choice 2019"", ""Lauréat Travellers' Choice 2018"", ""Lauréat Travellers' Choice 2017""]"§15 243 avis
87§Royal Jordanian§https://www.tripadvisor.fr/Airline_Review-d8729138-Reviews-Royal-Jordanian#REVIEWS§3,5§35§35§30§30§35§35§35§35§35§§1 923 avis
88§Enter Air§https://www.tripadvisor.fr/Airline_Review-d8729070-Reviews-Enter-Air#REVIEWS§3,5§35§35§20§30§35§35§40§40§30§§2 423 avis
89§Azul§https://www.tripadvisor.fr/Airline_Review-d8728972-Reviews-Azul#REVIEWS§4,5§40§40§40§40§45§40§45§45§40§"[""Lauréat Travellers' Choice 2019"", ""Lauréat Travellers' Choice 2018"", ""Lauréat Travellers' Choice 2017""]"§15 187 avis
90§Nouvel Air Tunise§https://www.tripadvisor.fr/Airline_Review-d8729126-Reviews-Nouvel-Air-Tunise#REVIEWS§2,5§25§25§15§25§30§30§30§30§25§§860 avis
91§Air Serbia§https://www.tripadvisor.fr/Airline_Review-d8729096-Reviews-Air-Serbia#REVIEWS§3,0§35§35§25§30§35§35§40§35§30§§1 634 avis
92§TUI fly Belgium (formerly Jetairfly)§https://www.tripadvisor.fr/Airline_Review-d8869165-Reviews-TUI-Fly-Belgium-Formerly-Jetairfly#REVIEWS§3,5§35§35§25§30§35§35§40§40§30§"[""Lauréat Travellers' Choice 2017""]"§4 564 avis
93§TACV Cabo Verde Airlines§https://www.tripadvisor.fr/Airline_Review-d8729162-Reviews-TACV-Cabo-Verde-Airlines#REVIEWS§3,0§30§30§20§25§30§30§35§30§30§§450 avis
94§THAI Smile§https://www.tripadvisor.fr/Airline_Review-d8729212-Reviews-THAI-Smile-Airways#REVIEWS§4,5§40§40§30§40§45§45§45§40§40§"[""Lauréat Travellers' Choice 2019"", ""Lauréat Travellers' Choice 2018"", ""Lauréat Travellers' Choice 2017""]"§4 874 avis
95§Wamos Air§https://www.tripadvisor.fr/Airline_Review-d10816891-Reviews-Wamos-Air#REVIEWS§2,5§25§25§20§25§30§30§30§30§25§§2 181 avis
96§SATA - Azores Airlines§https://www.tripadvisor.fr/Airline_Review-d8729143-Reviews-SATA-Azores-Airlines#REVIEWS§3,0§30§30§20§30§35§30§35§35§30§§1 542 avis
97§Sunwing Airlines§https://www.tripadvisor.fr/Airline_Review-d8729159-Reviews-Sunwing-Airlines#REVIEWS§3,0§25§30§25§25§30§30§35§35§25§§7 116 avis
98§Air Algerie§https://www.tripadvisor.fr/Airline_Review-d8728993-Reviews-Air-Algerie#REVIEWS§2,5§30§30§15§20§25§25§25§25§25§§436 avis
99§Qantas§https://www.tripadvisor.fr/Airline_Review-d8729133-Reviews-Qantas#REVIEWS§4,0§35§35§35§35§40§35§40§40§35§"[""Lauréat Travellers' Choice 2019"", ""Lauréat Travellers' Choice 2018"", ""Lauréat Travellers' Choice 2017""]"§18 761 avis
100§IndiGo§https://www.tripadvisor.fr/Airline_Review-d8729090-Reviews-IndiGo#REVIEWS§4,0§35§35§20§35§35§40§40§40§30§"[""Lauréat Travellers' Choice 2019"", ""Lauréat Travellers' Choice 2018"", ""Lauréat Travellers' Choice 2017""]"§7 374 avis
101§Turkmenistan Airlines§https://www.tripadvisor.fr/Airline_Review-d8729175-Reviews-Turkmenistan-Airlines#REVIEWS§3,5§35§35§15§30§30§35§40§35§35§§201 avis
102§Air Corsica§https://www.tripadvisor.fr/Airline_Review-d10816886-Reviews-Air-Corsica#REVIEWS§4,0§35§35§25§35§40§35§40§40§35§"[""Lauréat Travellers' Choice 2019""]"§549 avis
103§South African Airways§https://www.tripadvisor.fr/Airline_Review-d8729155-Reviews-South-African-Airways#REVIEWS§3,5§35§35§30§30§35§35§40§35§35§§4 654 avis
104§Jetstar Airways - Australia & New Zealand§https://www.tripadvisor.fr/Airline_Review-d8729146-Reviews-Jetstar-Airways-Australia-New-Zealand#REVIEWS§3,0§30§30§20§30§35§35§35§35§25§§11 791 avis
105§Thai Lion Air§https://www.tripadvisor.fr/Airline_Review-d10816884-Reviews-Thai-Lion-Air#REVIEWS§2,5§25§30§20§25§30§35§35§35§25§§1 412 avis
106§Blue Air§https://www.tripadvisor.fr/Airline_Review-d8729035-Reviews-Blue-Air#REVIEWS§3,5§30§30§20§30§35§35§35§35§35§"[""Lauréat Travellers' Choice 2018""]"§3 047 avis
107§TAROM§https://www.tripadvisor.fr/Airline_Review-d8729165-Reviews-TAROM#REVIEWS§3,5§35§35§25§30§35§35§40§35§35§§1 150 avis
108§Air Seychelles§https://www.tripadvisor.fr/Airline_Review-d8729012-Reviews-Air-Seychelles#REVIEWS§3,0§35§30§30§30§30§35§35§35§30§§648 avis
109§Air Tahiti§https://www.tripadvisor.fr/Airline_Review-d10533095-Reviews-Air-Tahiti#REVIEWS§4,0§35§35§20§40§40§35§40§40§30§"[""Lauréat Travellers' Choice 2019""]"§307 avis
110§Air Mediterranean§https://www.tripadvisor.fr/Airline_Review-d13150558-Reviews-Air-Mediterranean#REVIEWS§2,5§25§25§15§25§25§25§25§30§20§§211 avis
111§EGYPTAIR§https://www.tripadvisor.fr/Airline_Review-d8729067-Reviews-EGYPTAIR#REVIEWS§3,5§35§35§30§30§35§35§35§35§35§§3 596 avis
112§FlyEgypt§https://www.tripadvisor.fr/Airline_Review-d13635960-Reviews-FlyEgypt#REVIEWS§2,5§30§25§15§20§25§30§30§35§20§§388 avis
113§Lion Air§https://www.tripadvisor.fr/Airline_Review-d8729111-Reviews-Lion-Air#REVIEWS§§§§§§§§§§§§2 023 avis
114§Binter§https://www.tripadvisor.fr/Airline_Review-d8729034-Reviews-Binter#REVIEWS§4,0§35§40§30§40§45§40§45§40§40§"[""Lauréat Travellers' Choice 2019"", ""Lauréat Travellers' Choice 2018""]"§848 avis
115§Sky Airline§https://www.tripadvisor.fr/Airline_Review-d10533088-Reviews-Sky-Airline#REVIEWS§3,0§25§30§15§30§30§35§35§35§25§§1 799 avis
116§Air India§https://www.tripadvisor.fr/Airline_Review-d8729004-Reviews-Air-India#REVIEWS§3,0§35§35§25§30§30§35§35§35§35§§7 322 avis
117§Viva Air (Peru)§https://www.tripadvisor.fr/Airline_Review-d14190671-Reviews-Viva-Air-Peru#REVIEWS§1,5§20§20§15§15§15§20§25§20§15§§720 avis
118§Onur Air§https://www.tripadvisor.fr/Airline_Review-d12878331-Reviews-Onur-Air#REVIEWS§2,0§20§20§15§15§25§25§30§30§20§§1 335 avis
119§flydubai§https://www.tripadvisor.fr/Airline_Review-d8729199-Reviews-Flydubai#REVIEWS§3,0§30§30§20§25§30§30§35§35§25§§3 005 avis
120§Eurowings§https://www.tripadvisor.fr/Airline_Review-d8729075-Reviews-Eurowings#REVIEWS§3,0§30§30§20§25§30§30§35§35§25§§9 098 avis
121§Jetstar Asia Airways - Singapore§https://www.tripadvisor.fr/Airline_Review-d8729042-Reviews-Jetstar-Asia-Airways-Singapore#REVIEWS§3,0§30§30§20§25§30§35§35§35§25§§1 791 avis
122§Aircalin§https://www.tripadvisor.fr/Airline_Review-d8728975-Reviews-Aircalin#REVIEWS§3,5§35§35§30§35§40§35§40§40§35§§310 avis
